N,D,genK,K,W,sep,ewexp,ewmin,ewmax,ewpmin,ewpmax,me,g,pattern,init_round,init_time,init_min,init_q25,init_mean,init_med,init_q75,init_max,init_var,final_round,final_time,final_min,final_q25,final_mean,final_med,final_q75,final_max,final_var
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,UniformMeans2GMM,0,0.00266666666666667,187405.478277956,187732.079666788,188018.362640814,187976.893680312,188253.385531959,189094.678465126,152464.900640747,50,0.841,186608.429744828,186646.557868278,186689.536740994,186670.312232138,186753.956671014,186819.611924821,3181.22762482097
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,AdaptiveMeans2GMM,0,0.003,187364.687861303,187522.366317982,187822.23123809,187703.926100392,188141.377387305,188933.20486521,160103.534277945,50,0.831555555555556,186608.549693439,186629.775102418,186650.822455554,186643.156219964,186650.421658532,186763.54001762,1285.41430743098
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,Gonzalez2GMM,0,0.00233333333333333,187489.034305988,188034.801443018,188284.241919692,188256.0535184,188419.778264523,189588.989281591,140512.908026637,50,0.829000000000001,186621.042787324,186635.422082626,186660.273541784,186659.558832703,186677.090923738,186745.948607592,855.51556921777
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,Alt_AdaptMean+Means2GMM_i,0,0.033,187160.871333554,187244.383930084,187322.053832931,187304.634599181,187367.303090635,187868.414789401,18325.4367923358,50,0.846888888888889,186615.609520637,186626.574562461,186641.657569114,186631.47457478,186641.787162278,186768.22336735,886.950943714417
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,Alt_AdaptMean+Means2GMM_f0.9,0,0.0306666666666666,187146.294684561,187223.330769523,187324.78027685,187288.039980129,187372.447923379,187707.104590803,20668.6175101066,50,0.823,186609.350558913,186627.278176212,186646.68725332,186639.045954409,186647.107047516,186758.53842727,1015.24242805771
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,Alt_AdaptMean+Means2GMM_f0.7,0,0.031,187186.949859136,187262.761552398,187364.729237505,187309.650489326,187402.239693724,187981.875200354,31665.6267232161,50,0.819222222222223,186607.213574235,186621.698764448,186652.239004245,186635.801363102,186661.328113695,186797.219977023,2516.91703256987
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,Alt_AdaptMean+Means2GMM_f0.5,0,0.03,187177.120516356,187239.647765511,187338.04027688,187325.40581146,187375.481519006,187799.705354404,17264.3503399299,50,0.828444444444445,186606.854582884,186626.438233578,186645.734043991,186640.585948834,186662.072490968,186714.546048906,645.226404366657
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,AgglomerativeInit__sample0_,0,0.284,188236.696620828,188570.414037983,189068.276800623,188978.020054119,189476.35106248,190627.542690008,384383.50356235,50,0.730555555555556,186584.85542019,186657.470072138,186709.687691277,186695.776209372,186748.579486152,186949.065995711,5433.47030962785
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,AgglomerativeInit__sample0.1,0,0.441,188236.696620828,188570.414037983,189068.276800623,188978.020054119,189476.35106248,190627.542690008,384383.50356235,50,1.29255555555556,186584.85542019,186657.470072138,186709.687691277,186695.776209372,186748.579486152,186949.065995711,5433.47030962785
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,GonzalezForGMM_.*_2gmm1_sample1,0,0.0313333333333333,188190.225308166,188190.225308166,188190.225308166,188190.225308166,188190.225308166,188190.225308166,0,50,0.838666666666667,186660.338077605,186660.338077605,186660.338077605,186660.338077605,186660.338077605,186660.338077605,0
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.0173333333333333,187174.44048092,187218.421740045,187402.906114002,187265.973698169,187440.946768336,188178.017208615,88240.7936651387,50,0.830111111111112,186613.224163435,186643.740363164,186663.762046828,186662.767431805,186675.24303223,186785.798837964,1125.48487498883
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,GonzalezForGMM_.*_2gmm0_sample1,0,0.0283333333333333,2512394.17103808,2904001.42036974,3168382.46062365,3126756.32545052,3497615.68660019,4041277.00470886,140401806675.224,50,0.827000000000001,186621.919240555,186654.221890364,186670.681688077,186661.455793221,186690.961091069,186783.356604345,1084.42309293697
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,GonzalezForGMM_.*_2gmm0_sample0.1,0,0.016,2141442.31315251,2472723.8506526,2644051.41770062,2615675.86462624,2824549.92120101,3380744.13981497,81205875585.0273,50,0.824777777777778,186618.281711691,186638.508081518,186680.689941239,186663.468963083,186689.489657925,186823.168476819,3110.53780184228
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,GonzalezKwedlo_.*_sample0.1_,0,0.001,2154557.31339339,2499442.85134575,2814457.5176846,2669372.83307648,3002671.72633917,4093477.20292987,189849114131.001,50,0.785777777777778,186619.779656533,186630.469373769,186667.589105004,186654.668637873,186691.223293233,186789.817451657,2153.84501675155
10000,3,10,10,0,0.5,0,50,50,2,2,0,1,GonzalezKwedlo_.*_sample1_,0,0.014,2729077.50855073,3029383.15855635,3335169.75233163,3300318.77522147,3678877.56703694,4340047.82589812,146933665503.201,50,0.810777777777778,186626.804614072,186641.325322959,186662.770783458,186660.284607674,186674.163995947,186740.148024239,703.300117446913
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,UniformMeans2GMM,0,0.00333333333333333,181793.526540401,181881.051378277,181992.212798634,181946.895588749,182043.264606514,182917.975994451,38195.3299690705,50,0.882666666666667,180851.168931094,180862.028384598,180884.562244687,180876.798124253,180899.126517603,180989.857384571,1042.54693866697
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,AdaptiveMeans2GMM,0,0.00333333333333333,181754.586839172,181803.749830923,181859.905458158,181844.309039042,181886.509169467,182071.344148624,4839.65895144621,50,0.862555555555556,180836.177685695,180852.477925222,180869.286413679,180860.393120072,180878.555575128,180933.255280406,524.30748717421
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,Gonzalez2GMM,0,0.00366666666666667,181461.1486905,181597.763233065,181704.767832621,181662.985966534,181848.859584108,182073.403629842,25720.9555504018,50,0.889666666666667,180839.175930493,180851.130974141,180858.971705443,180859.338275625,180864.405863803,180879.323256986,103.048686418976
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,Alt_AdaptMean+Means2GMM_i,0,0.0356666666666666,181692.224785319,181846.186179785,181888.406100598,181872.174970773,181944.037577046,182066.926323641,6808.9117682668,50,0.898666666666667,180836.443532543,180851.706548146,180864.472493131,180859.960022128,180875.920183502,180908.701425139,296.000413084058
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,Alt_AdaptMean+Means2GMM_f0.9,0,0.0316666666666667,181758.830463461,181816.503990346,181873.755342443,181873.016088003,181931.292107002,182021.52554261,4760.76702829707,50,0.843444444444445,180830.910883202,180847.864083353,180864.43904333,180855.521192893,180878.773964802,180954.309771442,648.827724086563
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,Alt_AdaptMean+Means2GMM_f0.7,0,0.0313333333333333,181760.206646258,181804.675742878,181873.75340904,181871.914870745,181930.737730518,182047.737527295,5841.48374262146,50,0.852111111111112,180832.615987108,180850.537348459,180860.749635013,180856.279893983,180867.091699283,180912.882711135,314.302472643053
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,Alt_AdaptMean+Means2GMM_f0.5,0,0.029,181761.196253049,181840.2680419,181893.080187681,181886.936044154,181939.648153976,182066.165149005,6358.00353215205,50,0.850666666666667,180838.916635755,180848.284323118,180860.163724049,180854.086590356,180869.928380639,180913.353970601,311.832621740053
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,AgglomerativeInit__sample0_,0,0.266,181954.127840193,182885.769652859,183118.2440581,183022.334762586,183795.506399629,184609.672609019,507997.338538944,50,0.726333333333333,180798.883837031,180873.610190498,180900.643446368,180901.192588468,180921.80500367,181048.43306566,1900.2156785148
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,AgglomerativeInit__sample0.1,0,0.428666666666667,181954.127840193,182885.769652859,183118.2440581,183022.334762586,183795.506399629,184609.672609019,507997.338538944,50,1.26677777777778,180798.883837031,180873.610190498,180900.643446368,180901.192588468,180921.80500367,181048.43306566,1900.2156785148
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,GonzalezForGMM_.*_2gmm1_sample1,0,0.0303333333333333,181683.083362663,181683.083362663,181683.083362663,181683.083362663,181683.083362663,181683.083362663,0,50,0.854666666666667,180842.109327289,180842.109327289,180842.109327289,180842.109327289,180842.109327289,180842.109327289,0
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.0176666666666667,181606.119254466,181696.076810805,181734.612513113,181718.059552749,181783.334374708,181914.760868883,4045.6234911396,50,0.817666666666667,180832.526871528,180844.700599134,180857.584965777,180856.725762556,180861.703481519,180954.623898724,467.952529045252
10000,3,10,10,0,0.5,0,50,50,2,2,0,2,GonzalezForGMM_.*_2gmm0_sample1,0,0.0283333333333333,4005252.08896533,4854544.87685708,5472486.49986864,5406192.27279397,5903538.61428185,8505464.3971506,907122781352.213,50,0.841666666666667,180787.152578394,180854.282842483,180861.768286187,180862.288869139,180872.05279412,180928.208333259,576.329382135339
