N,D,genK,K,W,sep,ewexp,ewmin,ewmax,ewpmin,ewpmax,me,g,pattern,init_round,init_time,init_min,init_q25,init_mean,init_med,init_q75,init_max,init_var,final_round,final_time,final_min,final_q25,final_mean,final_med,final_q75,final_max,final_var
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,UniformMeans2GMM,0,0.00233333333333333,215575.99100172,218407.349619137,219097.3044326,219564.357736079,220082.692090162,221915.409816362,2836963.0857355,50,0.873888888888889,208494.921042955,209125.375801605,210867.232045269,211028.470567425,211976.014189777,215124.454743918,4048239.75181029
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,AdaptiveMeans2GMM,0,0.004,214514.467962572,216146.993755079,217010.565084519,216879.284049878,217845.684542691,219583.791506523,1274898.18149888,50,0.881222222222223,208494.921032726,209125.462726287,210200.431617059,209603.561357937,212074.479655455,213602.070385626,2080011.37281622
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,Gonzalez2GMM,0,0.00433333333333334,217877.565821745,219299.76264057,219788.176808916,219681.084499473,220076.606867049,223013.119647782,1129630.48374577,50,0.893666666666667,209126.039625563,210079.485021528,211491.72814513,211705.425787809,212631.246208185,215221.238178752,2718951.62030592
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,Alt_AdaptMean+Means2GMM_i,0,0.0313333333333333,214677.411542178,215916.057878364,216735.197031023,216667.128409654,217442.165837744,220296.538462833,1528759.19244002,50,0.897666666666667,208494.921033059,209134.509732594,210909.030485858,210640.489233865,212076.895622907,215522.169960274,3149371.91231928
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,Alt_AdaptMean+Means2GMM_f0.9,0,0.0296666666666666,215294.407520867,216155.578176038,217067.806269761,217075.196319054,217699.259060001,220032.572751103,1150499.9123488,50,0.819666666666668,208494.921032644,209130.559383746,210994.513073809,211228.188668743,212076.58563339,214803.89880169,3063185.7746267
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,Alt_AdaptMean+Means2GMM_f0.7,0,0.029,214769.540969263,215940.040663977,216491.724899843,216552.01862302,217239.915833341,217807.915598702,733590.169479731,50,0.822222222222223,208494.921032924,209125.814974477,210334.454366908,210084.938186746,211733.162306286,212951.026345508,1880654.04262993
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,Alt_AdaptMean+Means2GMM_f0.5,0,0.0283333333333333,214412.895495484,215799.390962623,216497.910452914,216381.329685657,216881.270417486,220226.384457839,1325529.4706055,50,0.818333333333334,208494.921032516,209130.154487033,210988.06794451,211232.449760785,212330.097194094,214798.17181286,2920313.03899565
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,AgglomerativeInit__sample0_,0,0.286666666666666,220700.952986521,222621.434931662,223296.437824909,223457.097354021,224110.581906203,225828.016619424,1271853.18255399,50,0.752666666666667,208494.921033574,209608.246184472,211227.521813764,211922.173248874,212804.732206809,213513.218173681,3281699.0434963
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,AgglomerativeInit__sample0.1,0,0.397666666666666,220700.952986521,222621.434931662,223296.437824909,223457.097354021,224110.581906203,225828.016619424,1271853.18255399,50,1.19955555555556,208494.921033574,209608.246184472,211227.521813764,211922.173248874,212804.732206809,213513.218173681,3281699.0434963
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,GonzalezForGMM_.*_2gmm1_sample1,0,0.029,217418.868341651,217418.868341651,217418.868341651,217418.868341651,217418.868341651,217418.868341651,0,50,0.823111111111112,212816.949480284,212816.949480284,212816.949480284,212816.949480284,212816.949480284,212816.949480284,0
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.0156666666666667,215537.300324694,216204.821512322,216830.101756884,216678.427211653,217505.863933924,218637.206166424,669074.088280517,50,0.819333333333334,209129.775857847,210081.411153789,210615.387140227,210090.637830056,211036.124095515,212825.195033794,1083187.0392958
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,GonzalezForGMM_.*_2gmm0_sample1,0,0.027,1553861.43704056,2065770.63717475,2417238.16908367,2389011.11310785,2738328.81837791,3268411.74363196,179735857377.789,50,0.833333333333334,209606.223253654,210080.881786275,211730.884217379,211365.937521135,213496.116289649,217567.51631031,4089795.21251962
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,GonzalezForGMM_.*_2gmm0_sample0.1,0,0.0153333333333333,1520425.73405482,1888977.52511532,2074482.32466954,2050057.72174,2343135.79562837,2807966.96642397,110251208150.544,50,0.818444444444445,208494.921047359,209130.820529675,210200.241249725,210080.648525879,211701.782336771,212642.727371781,1328294.82885083
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,GonzalezKwedlo_.*_sample0.1_,0,0.001,1582463.3603059,1851406.5773099,2116781.52337434,2080131.21863834,2280660.29828302,2765409.42349707,112039967421.199,50,0.470555555555556,208908.548801759,209128.968243223,210142.99433181,210080.827545175,210213.075198111,214147.998391088,1650189.66375399
10000,3,10,10,0,0.5,0,50,50,1,10,0,1,GonzalezKwedlo_.*_sample1_,0,0.00800000000000001,2105802.5794327,2398669.25714808,2721235.66974739,2604345.75062444,2979956.28920406,3865586.46894459,204747738163.04,50,0.475777777777778,208494.921319501,209130.534025624,210872.397396471,210171.404961419,212533.045902156,213594.16641159,2937294.23544706
