N,D,genK,K,W,sep,ewexp,ewmin,ewmax,ewpmin,ewpmax,me,g,pattern,init_round,init_time,init_min,init_q25,init_mean,init_med,init_q75,init_max,init_var,final_round,final_time,final_min,final_q25,final_mean,final_med,final_q75,final_max,final_var
10000,3,10,10,0,0.5,0,50,50,1,1,0,1,UniformMeans2GMM,0,0.001,174591.413370243,174814.936691415,174997.073481822,174953.301384219,175128.578878815,176214.345713485,89277.8867456646,50,0.877555555555557,174036.191957022,174050.706676849,174062.771874057,174057.230362455,174061.010979533,174174.573399181,625.906117135678
10000,3,10,10,0,0.5,0,50,50,1,1,0,1,AdaptiveMeans2GMM,0,0.003,174587.846331214,174730.55744648,174877.25105052,174830.527863685,175056.139426807,175156.477399411,31025.0978947687,50,0.86,174035.478115596,174044.599085829,174053.344492914,174050.097731769,174053.816235983,174160.287502221,448.609644413085
10000,3,10,10,0,0.5,0,50,50,1,1,0,1,Gonzalez2GMM,0,0.00466666666666667,174748.351654777,174953.940399354,175133.029307689,175109.164211836,175324.057716445,175478.496406657,43046.9885623904,50,0.868111111111111,174038.119762044,174046.329092964,174052.299106489,174052.59253955,174057.714353445,174073.810995701,79.3687268620198
10000,3,10,10,0,0.5,0,50,50,1,1,0,1,Alt_AdaptMean+Means2GMM_i,0,0.032,174484.582229895,174587.043975098,174640.528652497,174620.730741622,174647.796990869,174963.233008534,10540.4653725182,50,0.84188888888889,174038.896349418,174043.710562773,174047.812028013,174046.877167119,174050.375975187,174067.752863165,41.1552947034877
10000,3,10,10,0,0.5,0,50,50,1,1,0,1,Alt_AdaptMean+Means2GMM_f0.9,0,0.0293333333333333,174488.468273962,174581.274981789,174644.664117321,174614.114507593,174660.573812761,174956.528432618,12141.2878534333,50,0.787888888888889,174034.742656183,174045.249446428,174048.547246397,174049.080591286,174051.234208422,174065.946889989,46.3192771453313
10000,3,10,10,0,0.5,0,50,50,1,1,0,1,Alt_AdaptMean+Means2GMM_f0.7,0,0.0293333333333333,174515.340392349,174593.227425899,174621.269082488,174617.69867457,174658.385982967,174719.213573537,2058.06903367645,50,0.790222222222223,174032.54442278,174042.613467144,174045.919276921,174046.695962386,174050.204014784,174052.493723202,24.4348357890066
10000,3,10,10,0,0.5,0,50,50,1,1,0,1,Alt_AdaptMean+Means2GMM_f0.5,0,0.0283333333333333,174540.921904632,174594.290104778,174648.137376984,174632.509113994,174682.897448869,174899.580585615,7019.25275290791,50,0.787444444444445,174039.906726661,174044.952706113,174050.028017659,174047.757671283,174051.752313951,174102.306419367,114.678959705887
10000,3,10,10,0,0.5,0,50,50,1,1,0,1,AgglomerativeInit__sample0_,0,0.265666666666667,175083.955035597,175336.822291416,175999.352691092,176082.915075554,176344.779856035,177322.696290132,442368.211739252,50,0.714111111111111,173979.782275256,174041.117485405,174048.980530816,174050.748159736,174059.20371421,174219.603151905,1300.04125238205
10000,3,10,10,0,0.5,0,50,50,1,1,0,1,AgglomerativeInit__sample0.1,0,0.396,175083.955035597,175336.822291416,175999.352691092,176082.915075554,176344.779856035,177322.696290132,442368.211739252,50,1.17266666666667,173979.782275256,174041.117485405,174048.980530816,174050.748159736,174059.20371421,174219.603151905,1300.04125238205
10000,3,10,10,0,0.5,0,50,50,1,1,0,1,GonzalezForGMM_.*_2gmm1_sample1,0,0.0316666666666666,174593.165369791,174593.165369791,174593.165369791,174593.165369791,174593.165369791,174593.165369791,0,50,0.880666666666668,174052.263409222,174052.263409222,174052.263409222,174052.263409222,174052.263409222,174052.263409222,0
