N,D,genK,K,W,sep,ewexp,ewmin,ewmax,ewpmin,ewpmax,me,g,pattern,init_round,init_time,init_min,init_q25,init_mean,init_med,init_q75,init_max,init_var,final_round,final_time,final_min,final_q25,final_mean,final_med,final_q75,final_max,final_var
10000,3,10,10,0,0.5,0,50,50,2,2,UN,1,UniformMeans2GMM,0,0.00266666666666667,193058.740074563,193920.167781116,194203.052252863,194187.382573595,194452.265966469,195618.274467493,245355.897938623,50,0.777111111111111,191368.152282811,191416.451077592,191457.812661508,191460.344713225,191487.325964506,191631.812744976,3407.41314806396
10000,3,10,10,0,0.5,0,50,50,2,2,UN,1,AdaptiveMeans2GMM,0,0.00366666666666667,192877.636845925,193318.63645891,193642.96079308,193668.324724037,193906.324188038,194364.495709299,130449.830968659,50,0.768111111111112,191364.767540511,191412.365890231,191444.40993689,191444.731893091,191470.638801961,191607.569874106,1961.97708766629
10000,3,10,10,0,0.5,0,50,50,2,2,UN,1,Gonzalez2GMM,0,0.003,193323.120852403,194048.920744378,194290.922577386,194215.865376436,194612.800359282,195061.524029755,169176.816666707,50,0.772111111111112,191406.024232639,191461.407544845,191596.46970947,191485.77630475,191745.651188631,192063.862155396,44105.731271058
10000,3,10,10,0,0.5,0,50,50,2,2,UN,1,Alt_AdaptMean+Means2GMM_i,0,0.0286666666666666,192445.38235766,193042.370802429,193278.023923626,193265.922704844,193558.448466776,193984.089957993,153131.953632177,50,0.788777777777778,191336.37871717,191380.074977591,191422.204499743,191415.500380283,191439.79595737,191706.88329311,4748.68861733598
10000,3,10,10,0,0.5,0,50,50,2,2,UN,1,Alt_AdaptMean+Means2GMM_f0.5,0,0.0306666666666666,192750.896176309,193108.037178472,193441.048847539,193432.604588415,193789.343658101,194244.115461907,139759.984898277,50,0.829111111111111,191342.304406217,191394.8120511,191423.847514098,191426.515439824,191457.127005996,191515.18828446,1570.90377708983
10000,3,10,10,0,0.5,0,50,50,2,2,UN,1,AgglomerativeInit__sample0.1,0,0.428333333333333,194535.174587618,195425.725423685,195732.646227149,195700.532154644,196086.890726356,197440.023385818,417981.855382989,50,1.26188888888889,191367.904446645,191470.392437903,191505.075869923,191494.521843594,191531.063526824,192034.767595288,6905.31125846396
10000,3,10,10,0,0.5,0,50,50,2,2,UN,1,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.00866666666666667,192051.649643513,192355.129214846,192629.672756968,192573.797390073,192900.476905358,193446.975198148,113271.982608987,50,0.496111111111112,191385.724583299,191445.82463012,191460.586259322,191467.481017222,191481.323462706,191498.651864227,780.468533929572
10000,3,10,10,0,0.5,0,50,50,2,2,UN,1,GonzalezKwedlo_.*_sample0.1_,0,0.001,3140511.79303848,3857678.55685183,4309302.9239241,4260360.87505394,4638324.95590605,6164022.30972378,487755133468.135,50,0.462111111111111,191421.346190456,191493.10450262,191578.011574833,191510.306194232,191597.780471988,191939.695775379,22764.4059208247
10000,3,10,10,0,0.5,0,50,50,2,2,UN,2,UniformMeans2GMM,0,0.00166666666666667,187924.165965661,188563.489538636,188838.352729818,188781.272813696,189119.743586007,190330.181942654,195662.817766803,50,0.751555555555556,186168.604587906,186211.11557288,186240.987425479,186241.125780307,186270.973681161,186316.013494941,1439.66189799799
10000,3,10,10,0,0.5,0,50,50,2,2,UN,2,AdaptiveMeans2GMM,0,0.003,187209.850771697,187683.417015186,188015.745406086,187998.355491229,188346.535251364,189222.712958,208390.358859054,50,0.752888888888889,186129.769285912,186191.213087701,186225.284809978,186222.134942223,186242.286465318,186357.446761567,2293.92344455289
