N,D,genK,K,W,sep,ewexp,ewmin,ewmax,ewpmin,ewpmax,me,g,pattern,init_round,init_time,init_min,init_q25,init_mean,init_med,init_q75,init_max,init_var,final_round,final_time,final_min,final_q25,final_mean,final_med,final_q75,final_max,final_var
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,UniformMeans2GMM,0,0.000666666666666667,229182.497898649,230424.025146543,231190.84940224,231407.929254916,232072.980388184,233018.502265367,1206594.81896229,50,0.782666666666667,216524.150181344,217901.240409087,218517.513774849,218278.26275518,219205.990374452,221908.377515146,1206655.38199117
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,AdaptiveMeans2GMM,0,0.00266666666666667,228096.172703395,229038.346710162,229809.650713969,229615.211115642,230636.010355513,232010.334848667,978419.046818163,50,0.785444444444445,216524.150181273,217260.017553832,218354.896148805,217971.057242487,219593.565866626,220793.746097472,1450326.3851634
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,Gonzalez2GMM,0,0.003,231867.830422623,232820.054980298,233807.661462459,233782.119917908,234583.269643823,235937.459745169,1504506.39873622,50,0.778000000000001,217956.402948802,220401.814905694,222376.792364091,221748.066207271,224146.766595013,227197.1472808,5169530.30941757
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,Alt_AdaptMean+Means2GMM_i,0,0.03,227778.664709935,228435.646802985,229034.950315199,229041.024958147,229650.678750575,230356.453097669,518680.961686712,50,0.819444444444444,216568.647073856,217291.947214291,218410.729039596,218040.162404537,219570.535363493,222885.834682492,1821460.22728498
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,Alt_AdaptMean+Means2GMM_f0.9,0,0.0313333333333333,226942.068084324,228404.088197947,228924.281217277,229063.120205935,229660.074890603,230426.600474476,707426.953937223,50,0.854000000000001,216524.150181281,217378.069783068,218433.68452459,218099.107267194,219227.591778906,222595.54147207,1507849.60584831
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,Alt_AdaptMean+Means2GMM_f0.7,0,0.0303333333333333,227739.752002001,228685.854013847,229153.435091244,229045.93072639,229345.244342313,231176.214991072,462615.588279748,50,0.844111111111112,216524.150181272,217349.982733579,218346.156454316,218159.01762533,219262.797918368,220547.528291877,1128562.02828307
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,Alt_AdaptMean+Means2GMM_f0.5,0,0.0303333333333333,227891.374546708,228678.029177425,229079.361267078,229048.188428007,229535.855118035,230464.949078258,417185.027871937,50,0.844555555555556,217250.883328657,217302.954575753,218154.907207425,217633.469059302,218853.671985876,220575.679353468,1025893.30425769
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,AgglomerativeInit__sample0.1,0,0.410666666666667,230597.298412967,232549.121839349,233454.51426312,233645.758022949,234436.903712469,236673.473531948,1961862.19920936,50,1.23677777777778,216524.150461629,217946.419358729,219388.203069929,219316.439549323,220374.214976713,224725.968166211,2799790.83571386
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,GonzalezForGMM_.*_2gmm1_sample1,0,0.016,229174.173395176,229174.173395176,229174.173395176,229174.173395176,229174.173395176,229174.173395176,0,50,0.510444444444445,217922.303863079,217922.303863079,217922.303863079,217922.303863079,217922.303863079,217922.303863079,0
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.00900000000000001,227413.239154913,228222.683480514,228613.617877057,228700.569821322,229021.610001569,229654.231966564,324603.798214905,50,0.501333333333334,216524.357368482,217891.422344541,219317.1031175,219602.116185168,220278.947911909,222608.543370758,1975891.95675976
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,GonzalezForGMM_.*_2gmm0_sample1,0,0.0113333333333333,3111172.51346164,4282900.96197417,4970646.58975829,4953167.34377145,5533001.70566318,8165215.67824268,926180200141.745,50,0.500888888888889,217901.473845432,220556.812067369,221803.376009744,222105.958108876,222857.026324933,228404.437451862,5098342.55454759
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,GonzalezForGMM_.*_2gmm0_sample0.1,0,0.004,2998425.86609915,3938139.57805883,4439182.26376439,4387043.91216371,4904669.57811276,6726552.77312198,637961231442.599,50,0.494444444444445,217251.940773847,219944.150900353,221433.123183483,222101.964257194,222633.158781204,225476.666648393,4619837.81281002
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,GonzalezKwedlo_.*_sample0.1_,0,0.000666666666666667,3088462.96483676,3747247.90984017,4494036.67945904,4356740.42174394,4960706.13128886,6243421.17665962,805808671607.48,50,0.526444444444445,217290.810141081,217954.968271197,219958.229775942,220290.781005069,220923.216926583,223488.458824439,3095614.83884697
10000,3,10,10,0,0.5,0,50,50,1,10,UN,1,GonzalezKwedlo_.*_sample1_,0,0.01,3103530.24620121,4448232.67854609,5117429.2301588,5051798.29355747,5725514.43775658,7338053.21232732,788183296294.144,50,0.558111111111111,217251.434576655,219121.477737991,220454.97626279,220641.313701313,221536.434012773,224330.229375713,3571328.72703919
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,UniformMeans2GMM,0,0.003,222158.458054024,222855.45127047,223390.260934842,223289.541885983,223727.223758358,225293.324048034,564322.213030506,50,0.808333333333334,216186.569607464,216848.058543429,217276.775925499,217325.049454658,217749.726878726,218520.499440593,364414.628531897
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,AdaptiveMeans2GMM,0,0.004,221893.105550769,222263.439340456,222726.825637942,222685.634022417,223219.99008778,223740.825965521,284473.779114201,50,0.798222222222223,217038.817305581,217966.607057306,218335.247233342,218436.340568903,218785.741562037,219368.990504047,373514.225243988
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,Gonzalez2GMM,0,0.001,222166.213280162,222314.244230985,222535.297516846,222515.527636422,222673.09544499,222979.594848965,53434.0218926065,50,0.797777777777778,219495.578064082,219507.966585624,220364.023290491,220951.464571815,221041.189998243,221060.937634563,534936.943965229
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,Alt_AdaptMean+Means2GMM_i,0,0.0286666666666666,221258.793030331,221834.950613358,222207.619889004,222176.794343695,222486.746259731,223445.230837176,274642.33304918,50,0.83,216593.388602384,217182.833165759,217587.761168729,217393.443662474,217959.641008843,218666.942217892,351785.423936637
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,Alt_AdaptMean+Means2GMM_f0.9,0,0.0303333333333333,221625.488782734,221914.963429994,222299.89003391,222363.04551573,222626.822908333,223071.911957261,174997.392032331,50,0.819222222222222,216801.42135688,217176.629434285,217662.380209593,217674.906540945,218053.867259169,218634.139949576,270259.802025835
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,Alt_AdaptMean+Means2GMM_f0.7,0,0.0306666666666666,221374.199173211,221969.956551928,222301.854585799,222247.67522509,222634.846680869,223240.930153809,196984.836132791,50,0.822222222222223,216493.576253237,216928.388493156,217400.026197926,217214.912539743,217950.019299981,218759.715651358,384663.894240479
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,Alt_AdaptMean+Means2GMM_f0.5,0,0.0303333333333333,221495.74902638,221913.318075564,222311.462768301,222282.506758265,222528.922835254,224015.230865762,280534.432076535,50,0.827111111111111,216521.929722158,217048.231990501,217438.10102299,217435.208949713,217755.107035122,218479.150655911,261691.892874493
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,AgglomerativeInit__sample0.1,0,0.405666666666667,224167.072047112,225438.927160961,226046.236209815,225860.547105296,226670.856706699,228911.755397763,1078139.46132922,50,1.21244444444444,216160.634487656,216946.21611782,217369.331000178,217364.018431716,217770.368311419,218847.497304861,433454.415261571
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,GonzalezForGMM_.*_2gmm1_sample1,0,0.015,221887.627166033,221887.627166033,221887.627166033,221887.627166033,221887.627166033,221887.627166033,0,50,0.497333333333334,219712.175588718,219712.175588718,219712.175588718,219712.175588718,219712.175588718,219712.175588718,0
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.00933333333333334,221539.378398014,221655.513968716,221871.365226436,221770.67745931,222120.398486927,222607.622826941,79036.964630811,50,0.493333333333334,217947.943335915,218531.569531703,218772.206843776,218610.093459393,218826.161065274,219795.821803963,177492.638037597
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,GonzalezForGMM_.*_2gmm0_sample1,0,0.0113333333333333,3413862.4680953,4697465.80183839,5704165.92390184,5752909.76039139,6613788.24118328,9279975.20181949,1802345292986.6,50,0.492777777777778,219491.923537853,219506.724482083,219916.057548266,219527.054521813,220720.108568916,221048.84058792,372931.630653992
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,GonzalezForGMM_.*_2gmm0_sample0.1,0,0.005,3396100.38262001,4521633.1969445,5668537.35851484,5561252.57686112,6818944.319884,8889999.05521821,2156333342441.85,50,0.486888888888889,219238.079928261,219508.86969464,219979.77898469,219533.138484109,221006.162605757,221258.101963832,506090.237300782
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,GonzalezKwedlo_.*_sample0.1_,0,0.001,3529373.27247193,4349858.90498394,5586947.1797266,5102923.47809874,6548557.88136226,11045360.4937943,3111525374269.76,50,0.529777777777778,218371.335823075,218814.307543309,219471.802342476,219488.712668459,219752.771734554,221180.624051189,482894.647229166
10000,3,10,10,0,0.5,0,50,50,1,10,UN,2,GonzalezKwedlo_.*_sample1_,0,0.0103333333333333,3632937.74625668,4604955.1572478,6188420.98061361,5343723.87141044,8039366.29270209,11994402.3879833,5284700473183.84,50,0.543666666666667,217891.037880801,218659.570900052,219226.074915965,219453.870530753,219576.039663879,220572.691293668,445305.532030659
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,UniformMeans2GMM,0,0.004,229875.905000673,231786.745822333,232633.727257022,232606.779905632,233692.319600944,234920.161163409,1721360.65406679,50,0.814666666666667,219343.77927606,220215.788549084,220773.155734681,220616.783873454,221335.111444624,222159.088335452,517516.458301614
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,AdaptiveMeans2GMM,0,0.00266666666666667,229694.441190315,230352.74228369,231330.562077947,231136.283199732,232040.000330882,234415.899527003,1504238.63114096,50,0.815222222222223,219884.938319014,221123.875315431,221772.550108899,221440.22320579,222993.924806062,224079.768619957,1457488.75168081
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,Gonzalez2GMM,0,0.002,233960.76155387,234507.704833506,235569.112528643,235438.531769756,236360.449242175,237350.083584091,1252683.08421843,50,0.806333333333334,221256.495949698,223381.205998578,224120.813264686,224263.46117488,225167.70834378,226307.330650215,1368669.06979437
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,Alt_AdaptMean+Means2GMM_i,0,0.031,228550.835827033,229688.720950482,230196.393289193,230275.045376492,230530.190320603,231698.757267838,483584.125511696,50,0.843333333333334,220082.991363038,220626.531184912,221549.930646323,221358.265101077,222156.562644244,224055.135568346,1013039.2808386
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,Alt_AdaptMean+Means2GMM_f0.9,0,0.0316666666666666,228831.311996564,229955.49961945,230257.911579209,230259.08797586,230673.335091803,231608.465977198,488298.918178364,50,0.863333333333334,220045.494213627,220599.01570115,221649.004228281,221255.448312131,222367.192903304,224949.603527802,1611362.45378242
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,Alt_AdaptMean+Means2GMM_f0.7,0,0.0316666666666666,228891.384765111,229793.021430979,230245.349739386,230317.570524704,230680.922481863,232026.576599133,472321.258569195,50,0.871444444444445,219344.513801851,220565.093436885,221208.630461968,220899.104014468,221851.407711171,224069.196744839,1310787.24426554
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,Alt_AdaptMean+Means2GMM_f0.5,0,0.033,229143.258419721,229686.855287817,230660.729531297,230605.423242697,231246.847113744,233061.529875684,1013734.88597636,50,0.861111111111112,219841.37438599,220566.943603674,220992.355664187,220762.19339244,221485.665589529,222991.578471908,683440.391232155
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,AgglomerativeInit__sample0.1,0,0.422666666666667,233379.458783275,234342.008514098,235013.853758573,234979.431523535,235924.654626421,236858.709719381,955219.655088685,50,1.27744444444445,220133.725459574,220951.947306005,221998.708984181,221819.271577285,222558.940990968,225810.670819697,1539248.99448579
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,GonzalezForGMM_.*_2gmm1_sample1,0,0.0153333333333333,230289.930511606,230289.930511606,230289.930511606,230289.930511606,230289.930511606,230289.930511606,0,50,0.502333333333334,222217.111606648,222217.111606648,222217.111606648,222217.111606648,222217.111606648,222217.111606648,0
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.00800000000000001,228691.95004501,229530.084408956,230022.773016381,230041.48120307,230415.033853411,231443.919733393,418360.684812106,50,0.496444444444445,220559.419561344,221324.869165008,222597.898722501,223095.898423979,223389.424878064,224343.307712894,1177069.90324033
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,GonzalezForGMM_.*_2gmm0_sample1,0,0.0123333333333333,3627435.00478024,4387134.71581959,5378967.32147585,5220842.72170286,5952396.22085799,8836075.08546433,1600964631202.27,50,0.497777777777778,221285.998367531,223347.844233205,224070.371603633,223755.740993924,224888.829095077,225967.106624513,1116124.95140503
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,GonzalezForGMM_.*_2gmm0_sample0.1,0,0.00366666666666667,3266070.38644724,4267543.28205197,4882473.22276259,4562961.51059455,5321692.83718501,7570248.95414608,772991809045.094,50,0.489666666666667,221312.153661475,223347.3275531,223897.402982506,223460.693361859,224489.061918266,226569.237497675,1297922.50987801
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,GonzalezKwedlo_.*_sample0.1_,0,0.000333333333333333,3253852.22365192,4441348.02350576,4931735.24648039,4795528.63577603,5531031.96324342,6563148.40192778,632685715444.521,50,0.555888888888889,220665.041875596,222643.626886737,223467.368487443,223414.532481103,224328.663098311,225753.885064635,1771065.64197206
10000,3,10,10,0,0.5,0,50,50,1,10,UN,3,GonzalezKwedlo_.*_sample1_,0,0.0103333333333333,4290212.96782058,5023429.54455774,5850482.40191108,5398855.17268559,6547948.00884497,9335533.48923849,1448297048454.34,50,0.556888888888889,220844.022365178,222703.515622772,223577.320779866,223870.071637884,224641.691010397,226266.610809143,2350069.1254617
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,UniformMeans2GMM,0,0.00166666666666667,223356.041217269,224398.052282503,225124.389666086,224813.915952101,226038.094876934,227916.770258277,988526.611795254,50,0.808222222222223,215630.907404091,215770.992162279,216945.297628619,216906.587104594,217365.59642051,218682.059896943,1018529.48168208
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,AdaptiveMeans2GMM,0,0.002,222627.513930345,224159.608265202,224516.68777562,224411.344479839,224993.763097738,226494.551674916,427272.009276627,50,0.796333333333334,216166.71651331,217044.134653627,218104.763112797,218009.910592598,218911.13852601,221244.75362273,1437305.76749672
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,Gonzalez2GMM,0,0.00233333333333333,225127.27476852,225294.770473498,225482.302805305,225492.776606751,225609.388842608,226002.393527103,52597.5317677616,50,0.789666666666667,218395.227931305,220440.950718358,220747.200123094,220741.735745535,221721.492370718,222343.193426188,889437.552346784
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,Alt_AdaptMean+Means2GMM_i,0,0.031,223099.503448877,223803.091600098,223975.6371849,223968.771509564,224120.505555322,224716.889320381,143654.306612234,50,0.842111111111112,215725.925700178,216114.147389312,216969.650484132,216949.627238423,217561.094276049,218693.96724898,823977.54906295
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,Alt_AdaptMean+Means2GMM_f0.9,0,0.0303333333333333,223227.212034402,223482.793342441,223991.328967132,224088.012732381,224307.427309083,224976.065061848,224183.333280895,50,0.864000000000001,215715.485340764,216772.619072183,217064.715956044,216955.900644218,217331.133336871,219013.227367184,819891.773703124
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,Alt_AdaptMean+Means2GMM_f0.7,0,0.033,223003.139440711,223720.980473719,224062.827620737,224198.708072836,224393.924688185,224840.784053164,186476.578778211,50,0.861888888888889,215718.218654673,215793.786141396,216824.869479867,216891.529124679,217055.175893283,218682.767453711,827240.640341189
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,Alt_AdaptMean+Means2GMM_f0.5,0,0.0306666666666666,223378.222312738,223877.457068169,224114.95088923,224061.816091985,224371.896942365,225165.087822452,192900.998098371,50,0.867111111111111,215585.222032689,215745.208429332,216860.879156916,217054.713265718,217367.912792383,219455.665783738,1042906.18371488
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,AgglomerativeInit__sample0.1,0,0.426666666666667,225711.464820389,227319.04985157,227868.658392181,227930.739865404,228493.189543532,229581.303773487,1029228.36236544,50,1.25111111111111,215554.192918566,215790.783840002,216661.745491204,216710.309842519,217086.787210687,218708.649414961,574318.572124489
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,GonzalezForGMM_.*_2gmm1_sample1,0,0.0153333333333333,224488.497836317,224488.497836317,224488.497836317,224488.497836317,224488.497836317,224488.497836317,0,50,0.499222222222222,217497.366125401,217497.366125401,217497.366125401,217497.366125401,217497.366125401,217497.366125401,0
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.00900000000000001,223229.161965146,223826.583991173,224208.453418777,224248.129368117,224646.280260124,225176.736509619,281427.7270745,50,0.495111111111112,216636.489674118,218051.716542914,218619.787161563,218651.557611188,218988.508152504,220549.74700379,929443.06764481
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,GonzalezForGMM_.*_2gmm0_sample1,0,0.0113333333333333,3571530.35989113,5057552.11216635,6217999.3129557,6098672.53270583,7016710.89954856,13314258.2285191,3443860577267.49,50,0.494666666666667,218415.07765646,220335.205244628,220769.670460089,220851.616150021,221331.884033733,222337.020455981,808033.965102347
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,GonzalezForGMM_.*_2gmm0_sample0.1,0,0.00533333333333334,3379380.48551756,4477951.56040859,5565486.6166534,5615787.57144842,6146900.24630213,8686531.71722971,1748643446497.25,50,0.488111111111111,219134.498370327,220315.251304326,220963.5721028,220904.094986745,221734.987941737,222920.79624259,897042.284470566
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,GonzalezKwedlo_.*_sample0.1_,0,0.00166666666666667,3582813.86339236,4772571.59883964,5566566.63371689,5409778.00485828,6136642.08658712,9687195.93042338,1463593767576.89,50,0.538222222222222,216833.282445442,218734.447374791,219133.663777881,219020.625559591,219571.414242387,220925.956499954,849013.947726698
10000,3,10,10,0,0.5,0,50,50,1,10,UN,4,GonzalezKwedlo_.*_sample1_,0,0.01,3973769.99195183,4964046.42054074,6158518.80492195,5977770.84390721,7210508.64991329,10783546.5004877,2257793847431.48,50,0.549111111111112,216888.253408033,218318.752747347,218989.69543927,218873.336423328,219451.597563383,222059.022692039,1254850.85228491
10000,3,10,10,0,0.5,0,50,50,1,10,UN,5,UniformMeans2GMM,0,0.00166666666666667,222178.003402541,222877.783375001,223203.505173471,223186.756745683,223443.862465528,224165.325780457,248240.328439715,50,0.797111111111111,214703.21708258,215564.198021997,216070.198462339,215819.195253323,216905.899908321,217485.432637296,536743.825985457
10000,3,10,10,0,0.5,0,50,50,1,10,UN,5,AdaptiveMeans2GMM,0,0.003,221534.0272541,222166.285358995,222594.2289661,222519.764597241,222882.281736264,223901.34769492,299215.985044726,50,0.802666666666667,215592.536798505,216096.561746686,216736.911386628,216427.355795531,217490.283881803,218166.752890966,666164.709966809
10000,3,10,10,0,0.5,0,50,50,1,10,UN,5,Gonzalez2GMM,0,0.00233333333333333,223031.389355982,224084.93302224,224249.476256041,224384.072756675,224464.275076483,224688.533690285,119458.754847544,50,0.80188888888889,216347.018839409,216537.807249337,218126.677264207,218067.352935928,219797.023428958,220409.289569535,2385558.25020986
10000,3,10,10,0,0.5,0,50,50,1,10,UN,5,Alt_AdaptMean+Means2GMM_i,0,0.03,220706.86594167,221297.368515537,221750.379679193,221744.975765807,222191.51641063,223129.59095969,370415.595703168,50,0.83588888888889,215165.534299161,215760.338775955,216488.908557581,216269.797551342,217262.52581221,217699.630345315,644317.333963192
10000,3,10,10,0,0.5,0,50,50,1,10,UN,5,Alt_AdaptMean+Means2GMM_f0.9,0,0.033,220697.015199795,221399.157304872,221849.00176215,221857.372027828,222354.126380462,223052.92520586,344158.798209213,50,0.910555555555556,215541.739898298,215771.836959149,216661.511395624,216995.825810807,217288.998497133,218132.076737904,613968.696154234
10000,3,10,10,0,0.5,0,50,50,1,10,UN,5,Alt_AdaptMean+Means2GMM_f0.7,0,0.034,220589.399827559,221346.382302447,221941.77870997,221990.189731425,222443.220938599,223238.045077381,448154.988765868,50,0.903555555555556,215174.826130882,215646.318541443,216198.250705936,216015.302676425,216941.777084966,217973.728775749,500301.989818743
10000,3,10,10,0,0.5,0,50,50,1,10,UN,5,Alt_AdaptMean+Means2GMM_f0.5,0,0.0333333333333333,220856.394644611,221561.860357903,222131.369917842,222005.718007237,222609.793915724,223592.425062299,512212.159584383,50,0.903777777777778,215294.131947669,215621.138479682,216196.054759151,215891.722345538,217058.155887564,217380.335930293,529884.751683403
10000,3,10,10,0,0.5,0,50,50,1,10,UN,5,AgglomerativeInit__sample0.1,0,0.436333333333333,223741.234476799,224538.060095102,224772.559004184,224809.675155399,225092.481495569,225742.751406811,203186.69536916,50,1.30455555555556,215053.495120762,215364.471810323,216097.568283975,215776.128165518,216668.955900305,218182.520508972,806572.893374633
10000,3,10,10,0,0.5,0,50,50,1,10,UN,5,GonzalezForGMM_.*_2gmm1_sample1,0,0.0153333333333333,220894.678620047,220894.678620047,220894.678620047,220894.678620047,220894.678620047,220894.678620047,0,50,0.499444444444445,216055.538398438,216055.538398438,216055.538398438,216055.538398438,216055.538398438,216055.538398438,0
10000,3,10,10,0,0.5,0,50,50,1,10,UN,5,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.00866666666666667,220346.596108025,220718.454547804,220983.185785433,220951.061586067,221188.188425326,221850.963727709,129021.628349476,50,0.493,215633.931546036,216248.433766806,216674.719976028,216291.016892456,217059.4516004,218237.256118531,600295.054669584
10000,3,10,10,0,0.5,0,50,50,1,10,UN,5,GonzalezForGMM_.*_2gmm0_sample1,0,0.0106666666666667,3745744.78458884,5041415.93170435,6229795.43336742,5820712.0073862,7628658.56768491,10685181.03149,3342378358111.02,50,0.495,216304.25301715,218328.559885361,218937.632579249,219630.210587004,219795.515364463,220378.576389114,1754083.14080454
