N,D,genK,K,W,sep,ewexp,ewmin,ewmax,ewpmin,ewpmax,me,g,pattern,init_round,init_time,init_min,init_q25,init_mean,init_med,init_q75,init_max,init_var,final_round,final_time,final_min,final_q25,final_mean,final_med,final_q75,final_max,final_var
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,UniformMeans2GMM,0,0.00133333333333333,180618.625103916,181089.029187464,181342.407503811,181285.871788677,181487.534340789,183085.320277733,190585.91007747,50,0.788,178768.267992524,178832.480111348,178857.415048358,178856.803666122,178876.371536341,179027.37062649,2099.43731477217
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,AdaptiveMeans2GMM,0,0.00333333333333333,180156.622816051,180658.019065931,180814.693769251,180834.359309489,181075.256250735,181410.670903002,108840.816433708,50,0.782888888888889,178763.761653387,178796.603006211,178824.867054577,178812.403285696,178847.403300431,178962.027160643,1922.26456589594
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,Gonzalez2GMM,0,0.003,180364.004441905,180666.872761741,180855.353805689,180893.921382182,181061.779865526,181387.804078307,65591.9338207427,50,0.792666666666667,178760.672993585,178955.823232003,179083.806603415,179037.027102446,179197.544850785,179459.591187567,32016.7979790612
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,Alt_AdaptMean+Means2GMM_i,0,0.0296666666666666,179646.347448068,180295.534438065,180614.193161553,180625.418015532,180782.860806626,181667.439436172,186666.640354512,50,0.822,178780.437291607,178810.390472658,178834.988185437,178830.305149768,178864.000191643,178891.262129895,908.298315486598
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,Alt_AdaptMean+Means2GMM_f0.9,0,0.0306666666666667,179926.05115866,180283.913419697,180564.904321953,180518.968212438,180840.520504471,181159.114364589,102616.934487601,50,0.847555555555556,178771.139839794,178810.577635716,178831.21895254,178826.549389591,178847.212702604,178923.11729733,1132.80781011482
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,Alt_AdaptMean+Means2GMM_f0.7,0,0.0313333333333333,180125.021954142,180471.972382052,180758.805711779,180688.428915311,181028.202322071,181772.905729423,157868.259967189,50,0.849222222222223,178784.954513966,178815.526186826,178837.979314049,178834.13191345,178859.171638058,178918.339436278,1115.48527621758
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,Alt_AdaptMean+Means2GMM_f0.5,0,0.0306666666666666,179964.856450074,180610.462316828,180849.079219154,180806.085986084,181113.004641806,181631.371316788,142068.470608804,50,0.843666666666667,178750.655303384,178816.43023064,178842.715331842,178843.610018763,178871.287065736,178917.692155388,1433.31755039342
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,AgglomerativeInit__sample0.1,0,0.432,181604.144267382,182059.267516208,182831.960316083,182797.996487206,183113.735304706,184819.690993997,610370.303512968,50,1.26533333333333,178820.004287814,178888.581889606,178948.021837097,178936.162566105,179003.509693121,179169.592393432,6727.01222795603
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,GonzalezForGMM_.*_2gmm1_sample1,0,0.0316666666666666,180075.535509976,180075.535509976,180075.535509976,180075.535509976,180075.535509976,180075.535509976,0,50,0.870000000000001,178949.456940794,178949.456940794,178949.456940794,178949.456940794,178949.456940794,178949.456940794,0
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.0183333333333333,179285.844880558,179708.869358798,179843.314372524,179854.105187873,179997.150602512,180607.469203561,92863.0284233519,50,0.853777777777779,178740.002824329,178773.902035214,178819.412736656,178784.859842758,178852.273083956,179006.663568055,4840.22792763431
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,GonzalezForGMM_.*_2gmm0_sample1,0,0.0283333333333333,3955258.2434156,4736766.65937002,5617883.12358406,5283702.44767746,5980359.803643,10871439.639551,2243676915061.57,50,0.870222222222223,178824.638419221,178951.868386931,179054.898528799,179014.433603156,179122.06147839,179547.113985199,28032.3375961144
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,GonzalezForGMM_.*_2gmm0_sample0.1,0,0.0156666666666667,3357240.31911078,4197652.44623166,4862372.62391146,4871322.8946246,5414909.86917999,6988113.60148446,715071437943.835,50,0.852888888888889,178777.822273954,178948.191186163,179010.337079094,178979.094787936,179056.59837755,179470.450551244,21604.028694424
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,GonzalezKwedlo_.*_sample0.1_,0,0.002,3026612.07160278,4574520.45654158,5182161.38471347,5131706.88658098,5798402.32395969,8739011.79363553,1300600809077.36,50,0.800444444444445,178842.781495754,178972.469927439,179051.53410046,179031.875053997,179129.735591953,179278.487385098,13601.3486737725
10000,3,10,10,0,0.5,0,50,50,1,1,UN,1,GonzalezKwedlo_.*_sample1_,0,0.0153333333333333,3805706.44586633,4863836.12882761,5772442.18736877,5825614.09456342,6182069.11686571,9995662.45842084,1800701995126.01,50,0.818777777777778,178828.629229212,178994.374234909,179094.147665177,179071.916598726,179108.830538554,179618.145077905,26506.2821330639
